DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,DK01,2010,25.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,DK02,2010,40.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,DK03,2010,34.4,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,DK04,2010,31.5,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,DK05,2010,31.5,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FR10,2010,16.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRB0,2010,14.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRC1,2010,20.2,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRC2,2010,19.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRD1,2010,13.5,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRD2,2010,21.2,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRE1,2010,17.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRE2,2010,26.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRF1,2010,12.7,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRF2,2010,17.4,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRF3,2010,19.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRG0,2010,14.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRH0,2010,11.7,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRI1,2010,12.5,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRI2,2010,,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRI3,2010,13.3,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRJ1,2010,27.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRJ2,2010,11.4,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRK1,2010,11.3,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRK2,2010,18.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRL0,2010,20.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,FRM0,2010,,u
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,HU10,2010,13.7,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,HU21,2010,19.4,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,HU22,2010,13.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,HU23,2010,19.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,HU31,2010,21.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,HU32,2010,17.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,HU33,2010,13.2,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,PT11,2010,39.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,PT15,2010,42.6,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,PT16,2010,44.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,PT17,2010,34.4,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,PT18,2010,43.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y20-24,PC,PT20,2010,57.7,
