"TIME","GEO","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2010","DK","Total","Y25","Year","54.9",""
"2010","DK","Total","Y26","Year","53.9",""
"2010","DK","Total","Y27","Year","52.9",""
"2010","DK","Total","Y28","Year","51.9",""
"2010","DK","Total","Y29","Year","50.9",""
"2010","DK","Total","Y30","Year","50.0",""
"2010","DK","Total","Y31","Year","49.0",""
"2010","DK","Total","Y32","Year","48.0",""
"2010","DK","Total","Y33","Year","47.0",""
"2010","DK","Total","Y34","Year","46.1",""
"2010","DK","Total","Y35","Year","45.1",""
"2010","DK","Total","Y36","Year","44.1",""
"2010","DK","Total","Y37","Year","43.1",""
"2010","DK","Total","Y38","Year","42.2",""
"2010","DK","Total","Y39","Year","41.2",""
"2010","DK","Total","Y40","Year","40.3",""
"2010","DK","Total","Y41","Year","39.3",""
"2010","DK","Total","Y42","Year","38.3",""
"2010","DK","Total","Y43","Year","37.4",""
"2010","DK","Total","Y44","Year","36.5",""
"2010","DK","Total","Y45","Year","35.5",""
"2010","DK","Total","Y46","Year","34.6",""
"2010","DK","Total","Y47","Year","33.7",""
"2010","DK","Total","Y48","Year","32.7",""
"2010","DK","Total","Y49","Year","31.8",""
"2010","DK","Total","Y50","Year","30.9",""
"2010","DK","Total","Y51","Year","30.0",""
"2010","DK","Total","Y52","Year","29.1",""
"2010","DK","Total","Y53","Year","28.3",""
"2010","DK","Total","Y54","Year","27.4",""
"2010","DK","Total","Y55","Year","26.6",""
"2010","DK","Total","Y56","Year","25.7",""
"2010","DK","Total","Y57","Year","24.9",""
"2010","DK","Total","Y58","Year","24.0",""
"2010","DK","Total","Y59","Year","23.2",""
"2010","DK","Total","Y60","Year","22.4",""
"2010","DK","Total","Y61","Year","21.6",""
"2010","DK","Total","Y62","Year","20.8",""
"2010","DK","Total","Y63","Year","20.0",""
"2010","DK","Total","Y64","Year","19.2",""
"2010","DK","Total","Y65","Year","18.4",""
"2010","DK","Males","Y25","Year","52.8",""
"2010","DK","Males","Y26","Year","51.8",""
"2010","DK","Males","Y27","Year","50.9",""
"2010","DK","Males","Y28","Year","49.9",""
"2010","DK","Males","Y29","Year","48.9",""
"2010","DK","Males","Y30","Year","48.0",""
"2010","DK","Males","Y31","Year","47.0",""
"2010","DK","Males","Y32","Year","46.0",""
"2010","DK","Males","Y33","Year","45.0",""
"2010","DK","Males","Y34","Year","44.1",""
"2010","DK","Males","Y35","Year","43.1",""
"2010","DK","Males","Y36","Year","42.1",""
"2010","DK","Males","Y37","Year","41.2",""
"2010","DK","Males","Y38","Year","40.2",""
"2010","DK","Males","Y39","Year","39.3",""
"2010","DK","Males","Y40","Year","38.3",""
"2010","DK","Males","Y41","Year","37.4",""
"2010","DK","Males","Y42","Year","36.4",""
"2010","DK","Males","Y43","Year","35.5",""
"2010","DK","Males","Y44","Year","34.6",""
"2010","DK","Males","Y45","Year","33.6",""
"2010","DK","Males","Y46","Year","32.7",""
"2010","DK","Males","Y47","Year","31.8",""
"2010","DK","Males","Y48","Year","30.9",""
"2010","DK","Males","Y49","Year","30.0",""
"2010","DK","Males","Y50","Year","29.1",""
"2010","DK","Males","Y51","Year","28.2",""
"2010","DK","Males","Y52","Year","27.4",""
"2010","DK","Males","Y53","Year","26.5",""
"2010","DK","Males","Y54","Year","25.7",""
"2010","DK","Males","Y55","Year","24.9",""
"2010","DK","Males","Y56","Year","24.0",""
"2010","DK","Males","Y57","Year","23.2",""
"2010","DK","Males","Y58","Year","22.4",""
"2010","DK","Males","Y59","Year","21.6",""
"2010","DK","Males","Y60","Year","20.8",""
"2010","DK","Males","Y61","Year","20.0",""
"2010","DK","Males","Y62","Year","19.3",""
"2010","DK","Males","Y63","Year","18.5",""
"2010","DK","Males","Y64","Year","17.7",""
"2010","DK","Males","Y65","Year","17.0",""
"2010","DK","Females","Y25","Year","56.9",""
"2010","DK","Females","Y26","Year","55.9",""
"2010","DK","Females","Y27","Year","54.9",""
"2010","DK","Females","Y28","Year","53.9",""
"2010","DK","Females","Y29","Year","52.9",""
"2010","DK","Females","Y30","Year","51.9",""
"2010","DK","Females","Y31","Year","50.9",""
"2010","DK","Females","Y32","Year","49.9",""
"2010","DK","Females","Y33","Year","49.0",""
"2010","DK","Females","Y34","Year","48.0",""
"2010","DK","Females","Y35","Year","47.0",""
"2010","DK","Females","Y36","Year","46.0",""
"2010","DK","Females","Y37","Year","45.1",""
"2010","DK","Females","Y38","Year","44.1",""
"2010","DK","Females","Y39","Year","43.1",""
"2010","DK","Females","Y40","Year","42.1",""
"2010","DK","Females","Y41","Year","41.2",""
"2010","DK","Females","Y42","Year","40.2",""
"2010","DK","Females","Y43","Year","39.2",""
