DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,DK,2010,24.7,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,DK0,2010,24.7,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,DK01,2010,19.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,DK02,2010,28.5,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,DK03,2010,28.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,DK04,2010,25.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,DK05,2010,27.4,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FR,2010,29.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FR1,2010,27.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FR10,2010,27.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRB,2010,30.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRB0,2010,30.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRC,2010,32.9,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRC1,2010,31.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRC2,2010,34.4,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRD,2010,33.9,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRD1,2010,29.9,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRD2,2010,37.1,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRE,2010,35.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRE1,2010,33.2,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRE2,2010,38.6,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRF,2010,29.7,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRF1,2010,24.2,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRF2,2010,35.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRF3,2010,31.2,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRG,2010,27.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,FRG0,2010,27.8,
