"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2010","DK","RL","Kilometre","2,627",""
"2010","DK0","RL","Kilometre","2,627",""
"2010","DK01","RL","Kilometre",":",""
"2010","DK02","RL","Kilometre",":",""
"2010","DK03","RL","Kilometre",":",""
"2010","DK04","RL","Kilometre",":",""
"2010","DK05","RL","Kilometre",":",""
"2010","FR","RL","Kilometre","29,503",""
"2010","FR1","RL","Kilometre","1,827",""
"2010","FR10","RL","Kilometre","1,827",""
"2010","FRB","RL","Kilometre","2,181",""
"2010","FRB0","RL","Kilometre","2,181",""
"2010","FRC","RL","Kilometre","2,721",""
"2010","FRC1","RL","Kilometre","1,905",""
"2010","FRC2","RL","Kilometre","816",""
"2010","FRD","RL","Kilometre","1,534",""
"2010","FRD1","RL","Kilometre","705",""
"2010","FRD2","RL","Kilometre","829",""
"2010","FRE","RL","Kilometre","2,905",""
"2010","FRE1","RL","Kilometre","1,421",""
"2010","FRE2","RL","Kilometre","1,484",""
"2010","FRF","RL","Kilometre","3,977",""
"2010","FRF1","RL","Kilometre","721",""
"2010","FRF2","RL","Kilometre","1,528",""
"2010","FRF3","RL","Kilometre","1,728",""
"2010","FRG","RL","Kilometre","1,360",""
"2010","FRG0","RL","Kilometre","1,360",""
"2010","FRH","RL","Kilometre","1,147",""
"2010","FRH0","RL","Kilometre","1,147",""
"2010","FRI","RL","Kilometre","3,641",""
"2010","FRI1","RL","Kilometre","1,609",""
"2010","FRI2","RL","Kilometre","835",""
"2010","FRI3","RL","Kilometre","1,197",""
"2010","FRJ","RL","Kilometre","2,885",""
"2010","FRJ1","RL","Kilometre","1,246",""
"2010","FRJ2","RL","Kilometre","1,639",""
"2010","FRK","RL","Kilometre","3,798",""
"2010","FRK1","RL","Kilometre","1,141",""
"2010","FRK2","RL","Kilometre","2,657",""
"2010","FRL","RL","Kilometre","1,295",""
"2010","FRL0","RL","Kilometre","1,295",""
"2010","FRM","RL","Kilometre","232",""
"2010","FRM0","RL","Kilometre","232",""
"2010","FRY","RL","Kilometre",":",""
"2010","FRY1","RL","Kilometre",":",""
"2010","FRY2","RL","Kilometre","0",""
"2010","FRY3","RL","Kilometre","0",""
"2010","FRY4","RL","Kilometre","0",""
"2010","FRY5","RL","Kilometre",":",""
"2010","HU","RL","Kilometre","7,390",""
"2010","HU1","RL","Kilometre","803",""
"2010","HU11","RL","Kilometre",":",""
"2010","HU12","RL","Kilometre",":",""
"2010","HU2","RL","Kilometre","2,967",""
"2010","HU21","RL","Kilometre","1,037",""
"2010","HU22","RL","Kilometre","968",""
"2010","HU23","RL","Kilometre","962",""
"2010","HU3","RL","Kilometre","3,620",""
"2010","HU31","RL","Kilometre","865",""
"2010","HU32","RL","Kilometre","1,409",""
"2010","HU33","RL","Kilometre","1,346",""
"2010","PT","RL","Kilometre","2,843",""
"2010","PT1","RL","Kilometre","2,843",""
"2010","PT11","RL","Kilometre","516",""
"2010","PT15","RL","Kilometre","221",""
"2010","PT16","RL","Kilometre","998",""
"2010","PT17","RL","Kilometre","244",""
"2010","PT18","RL","Kilometre","864",""
"2010","PT2","RL","Kilometre",":","z"
"2010","PT20","RL","Kilometre",":","z"
"2010","PT3","RL","Kilometre",":","z"
"2010","PT30","RL","Kilometre",":","z"
"2010","SK","RL","Kilometre","3,622",""
"2010","SK0","RL","Kilometre","3,622",""
"2010","SK01","RL","Kilometre","235",""
"2010","SK02","RL","Kilometre","1,201",""
"2010","SK03","RL","Kilometre","1,058",""
"2010","SK04","RL","Kilometre","1,128",""
