DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,DK01,2010,157,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,DK02,2010,260,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,DK03,2010,329,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,DK04,2010,197,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,DK05,2010,187,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FR10,2010,605,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRB0,2010,983,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRC1,2010,685,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRC2,2010,218,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRD1,2010,284,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRD2,2010,427,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRE1,2010,627,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRE2,2010,550,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRF1,2010,302,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRF2,2010,516,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRF3,2010,462,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRG0,2010,746,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRH0,2010,50,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRI1,2010,785,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRI2,2010,274,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRI3,2010,300,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRJ1,2010,561,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRJ2,2010,653,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRK1,2010,380,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRK2,2010,1230,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRL0,2010,754,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,FRM0,2010,0,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,HU21,2010,267,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,HU22,2010,165,
